data.id,data.name,data.symbol,data.slug,data.date_added,data.cmc_rank,data.self_reported_circulating_supply,data.self_reported_market_cap,data.tvl_ratio,data.last_updated,data.quote.USD.price,data.quote.USD.volume_24h,data.quote.USD.volume_change_24h,data.quote.USD.percent_change_1h,data.quote.USD.percent_change_24h,data.quote.USD.percent_change_7d,data.quote.USD.percent_change_30d,data.quote.USD.percent_change_60d,data.quote.USD.percent_change_90d,data.quote.USD.market_cap,data.quote.USD.market_cap_dominance,data.quote.USD.fully_diluted_market_cap,data.quote.USD.tvl,data.quote.USD.last_updated
1,Bitcoin,BTC,bitcoin,2013-04-28T00:00:00.000Z,1,,,,2022-12-20T00:11:00.000Z,16446.92284,17156791818,57.2882,0.19450615,-1.81469903,-4.35826513,-1.62858339,-13.66072678,-13.02254862,316412069264,39.9256,345385379718,,2022-12-20T00:11:00.000Z
1027,Ethereum,ETH,ethereum,2015-08-07T00:00:00.000Z,2,,,,2022-12-20T00:11:00.000Z,1166.993079,4899576031,47.2268,0.20589465,-1.49714429,-8.40692358,-4.31630476,-9.03357923,-11.99188901,142809454984,18.0173,142809454984,,2022-12-20T00:11:00.000Z
825,Tether,USDT,tether,2015-02-25T00:00:00.000Z,3,,,,2022-12-20T00:11:00.000Z,1.000077407,21755088793,51.6599,-0.00049148,-0.00756863,-0.00285864,0.09505399,0.00503881,0.00073318,66214670187,8.3527,73147428011,,2022-12-20T00:11:00.000Z
3408,USD Coin,USDC,usd-coin,2018-10-08T00:00:00.000Z,4,,,,2022-12-20T00:11:00.000Z,1.000085944,2370409481,122.0516,0.01768596,0.01460029,0.01544153,-0.00565512,0.00925104,0.00253028,44615066186,5.6288,44615066186,,2022-12-20T00:11:00.000Z
1839,BNB,BNB,bnb,2017-07-25T00:00:00.000Z,5,,,,2022-12-20T00:11:00.000Z,240.295163,745520348.4,-19.2461,-0.04942151,-4.16152856,-13.05434687,-11.87068523,-10.62641596,-9.90472829,38439243621,4.849,48059032608,,2022-12-20T00:11:00.000Z
4687,Binance USD,BUSD,binance-usd,2019-09-20T00:00:00.000Z,6,,,,2022-12-20T00:11:00.000Z,0.9999261747,4562695015,67.4841,-0.03042805,-0.00485467,-0.01525212,-0.07778759,0.01936827,-0.00836555,18338462799,2.314,18338462799,,2022-12-20T00:11:00.000Z
52,XRP,XRP,xrp,2013-08-04T00:00:00.000Z,7,,,,2022-12-20T00:11:00.000Z,0.3386818447,984822571,215.7036,0.05560174,-3.48751286,-12.45508002,-12.20484655,-24.28506266,-17.55301949,17050429620,2.1511,33868184470,,2022-12-20T00:11:00.000Z
74,Dogecoin,DOGE,dogecoin,2013-12-15T00:00:00.000Z,8,,,,2022-12-20T00:11:00.000Z,0.07158053576,582071082.4,129.0033,0.4618899,-8.9881618,-21.49430395,-15.48284819,20.35697797,22.47376066,9496644388,1.198,9496644388,,2022-12-20T00:11:00.000Z
2010,Cardano,ADA,cardano,2017-10-01T00:00:00.000Z,9,,,,2022-12-20T00:11:00.000Z,0.2527448151,224487855.5,36.0874,0.1846297,-5.12817437,-17.61462668,-23.15321787,-25.62476025,-43.01014719,8717115512,1.0998,11373516681,,2022-12-20T00:11:00.000Z
3890,Polygon,MATIC,polygon,2019-04-28T00:00:00.000Z,10,,,,2022-12-20T00:11:00.000Z,0.7717671521,344948894.3,94.5422,0.31181085,-5.10780467,-15.29001581,-11.93218934,-4.24555236,5.11743718,6740859324,0.8504,7717671521,,2022-12-20T00:11:00.000Z
